full.name,PA,run,algo,metric.eval,cutoff,sensitivity,specificity,calibration,validation,evaluation
Periparus.ater_allData_RUN4_DNN,allData,RUN4,DNN,RMSE,,,,1.928,2.076,2.552
Periparus.ater_allData_RUN4_GBM,allData,RUN4,GBM,Rsquared,,,,0.803,0.479,0.581
Periparus.ater_allData_RUN4_GBM,allData,RUN4,GBM,Rsquared_aj,,,,0.802,0.461,0.578
Periparus.ater_allData_RUN4_GBM,allData,RUN4,GBM,RMSE,,,,1.567,1.973,2.547
Periparus.ater_allData_RUN4_GLM,allData,RUN4,GLM,Rsquared,,,,0.004,0.005,0.001
Periparus.ater_allData_RUN4_GLM,allData,RUN4,GLM,Rsquared_aj,,,,-0.004,-0.03,-0.005
Periparus.ater_allData_RUN4_GLM,allData,RUN4,GLM,RMSE,,,,49605941614017.7,11329505874.221,23499172777213.3
Periparus.ater_allData_RUN4_MARS,allData,RUN4,MARS,Rsquared,,,,0.643,0.406,0.51
Periparus.ater_allData_RUN4_MARS,allData,RUN4,MARS,Rsquared_aj,,,,0.641,0.385,0.507
Periparus.ater_allData_RUN4_MARS,allData,RUN4,MARS,RMSE,,,,1.874,2.261,2.643
Periparus.ater_allData_RUN4_RF,allData,RUN4,RF,Rsquared,,,,0.903,0.502,0.574
Periparus.ater_allData_RUN4_RF,allData,RUN4,RF,Rsquared_aj,,,,0.903,0.484,0.571
Periparus.ater_allData_RUN4_RF,allData,RUN4,RF,RMSE,,,,1.054,2.018,2.473
Periparus.ater_allData_RUN4_XGBOOST,allData,RUN4,XGBOOST,Rsquared,,,,0.627,0.449,0.535
Periparus.ater_allData_RUN4_XGBOOST,allData,RUN4,XGBOOST,Rsquared_aj,,,,0.625,0.429,0.532
Periparus.ater_allData_RUN4_XGBOOST,allData,RUN4,XGBOOST,RMSE,,,,1.961,2.12,2.626
