module,scope,algorithm,setting,metric,value,result_status
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | LQ | 1,auc.diff.avg,0.0361032896302334,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | L | 2,auc.diff.avg,0.0302499470866942,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | LQ | 2,auc.diff.avg,0.0347289750967277,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | L | 3,auc.diff.avg,0.0309355952498056,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | LQ | 3,auc.diff.avg,0.0337742812233589,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | L | 0.5,auc.diff.avg,0.186668359273449,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | LQ | 0.5,auc.diff.avg,0.11709772577185,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | L | 1,auc.diff.avg,0.185495253341658,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | LQ | 1,auc.diff.avg,0.114759641331402,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | L | 2,auc.diff.avg,0.184449864269717,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | LQ | 2,auc.diff.avg,0.124236622932796,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | L | 3,auc.diff.avg,0.184818092328051,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | LQ | 3,auc.diff.avg,0.147518696607063,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | L | 0.5,auc.diff.avg,0.17549546602008,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | LQ | 0.5,auc.diff.avg,0.156884324214938,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | L | 1,auc.diff.avg,0.173257076935353,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | LQ | 1,auc.diff.avg,0.155032181096147,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | L | 2,auc.diff.avg,0.168839539228328,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | LQ | 2,auc.diff.avg,0.148166039764404,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | L | 3,auc.diff.avg,0.163903513760638,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | LQ | 3,auc.diff.avg,0.151176631541286,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | L | 0.5,cbi.val.avg,0.8804,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | LQ | 0.5,cbi.val.avg,0.8684,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | L | 1,cbi.val.avg,0.8774,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | LQ | 1,cbi.val.avg,0.8832,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | L | 2,cbi.val.avg,0.8696,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | LQ | 2,cbi.val.avg,0.9018,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | L | 3,cbi.val.avg,0.8556,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | LQ | 3,cbi.val.avg,0.9148,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | L | 0.5,cbi.val.avg,0.41725,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | LQ | 0.5,cbi.val.avg,0.745,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | L | 1,cbi.val.avg,0.428,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | LQ | 1,cbi.val.avg,0.756,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | L | 2,cbi.val.avg,0.439,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | LQ | 2,cbi.val.avg,0.719,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | L | 3,cbi.val.avg,0.435,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | LQ | 3,cbi.val.avg,0.62275,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | L | 0.5,cbi.val.avg,0.3475,reproduced_adapted
